Temperature,Food,Density,Tail Flicks,,,
71,No,High,0,,,
59,No,High,0,,,
40,No,High,1,,,
39,No,High,0,,,
55,No,High,1,,,
59,No,High,1,,,
59,No,High,0,,,
63,No,High,1,,,
68,No,High,2,,,
69,No,High,1,,,
76,Yes,High,4,,,
76,Yes,High,3,,,
67,Yes,High,2,,,
67,Yes,High,2,,,
29,Yes,High,6,,,
69,Yes,High,4,,,
69,Yes,High,7,,,
52,Yes,High,8,,,
58,Yes,High,7,,,
58,Yes,High,4,,,
76,No,Low,2,,,
46,No,Low,1,,,
69,No,Low,8,,,
52,No,Low,7,,,
52,No,Low,2,,,
55,No,Low,4,,,
58,No,Low,5,,,
59,No,Low,2,,,
59,No,Low,0,,,
61,No,Low,5,,,
76,Yes,Low,2,,,
76,Yes,Low,4,,,
67,Yes,Low,1,,,
67,Yes,Low,0,,,
69,Yes,Low,2,,,
41,Yes,Low,4,,,
41,Yes,Low,3,,,
39,Yes,Low,3,,,
39,Yes,Low,2,,,
59,Yes,Low,0,,,
